id,participantId,timeOfNotification,timeOfEngagement,timeOfContext,timeOfValence,timeOfArousal,valence,arousal,context
446,43,4355656,4381506,4391650,4385945,4389476,POSITIVE,HIGH,CONVERSATION
447,43,5145408,5151287,5166824,5159387,5163519,NEUTRAL,MEDIUM,CONVERSATION
448,43,5805735,5812887,5821945,5816274,5820423,POSITIVE,MEDIUM,CONVERSATION
449,43,6383233,6411042,6419546,6415165,6417611,NEUTRAL,MEDIUM,CONVERSATION
450,43,7112894,0,0,0,0,NONE,NONE,NONE
451,43,7624508,7629824,7647099,7636938,7640844,NEUTRAL,LOW,WALKING
452,43,8400302,8414184,8422698,8418167,8420180,POSITIVE,MEDIUM,WALKING
453,44,455877,459825,473866,466570,469765,POSITIVE,HIGH,CONVERSATION
454,44,1024853,1029227,0,1045013,1048206,POSITIVE,MEDIUM,NONE
455,44,1856736,1862210,1875706,1869148,1871332,NEGATIVE,MEDIUM,WALKING
456,44,2480575,2592920,2602657,2596802,2598906,POSITIVE,MEDIUM,CONVERSATION
457,44,3149594,3163102,3179345,3174258,3176756,POSITIVE,MEDIUM,VIEW_BOOTH
458,44,3686689,0,0,0,0,NONE,NONE,NONE
459,44,4453617,4607451,0,4612176,4614001,POSITIVE,MEDIUM,NONE
460,44,4929682,4937300,4951621,4947538,4949290,NEUTRAL,MEDIUM,VIEW_BOOTH
461,44,5666736,5670460,5688609,5676481,5678315,NEUTRAL,MEDIUM,VIEW_BOOTH
462,44,6163589,6182378,6209246,6186723,6201830,POSITIVE,HIGH,VIEW_BOOTH
